Experiment Name,Cas3y7 + FixableViability 450
Specimen Name,INF2 D6
Tube Name,Bomac DMSO N
Record Date,"Mar 9, 2021 12:15:24 PM"
$OP,CoscollaI2SysBio 
GUID,1a1d7e58-bf86-4e9e-98a2-dd479d9a5678 
Population,#Events,%Parent,FITC-A Mean,BV421-A Mean
Single Cells,7907,99.5,192,7581
Viability450+,6981,88.3,188,8313
Cas3/7+,8,0.1,6020,10547
Necrotic,7564,95.7,182,7886
Late Apoptotic,11,0.1,3060,5484
Viable,326,4.1,272,703
Early Apoptotic,6,0.1,4193,1011

