Experiment Name,Cas3y7 + FixableViability 450
Specimen Name,INF2 D6
Tube Name,Bomac L6 1
Record Date,"Mar 9, 2021 12:19:50 PM"
$OP,CoscollaI2SysBio 
GUID,a0558725-8c70-4321-9839-4bfec7b3e634 
Population,#Events,%Parent,FITC-A Mean,BV421-A Mean
Single Cells,9879,91.9,5865,1696
Viability450+,1743,17.6,6685,7203
Cas3/7+,6159,62.3,8276,1495
Necrotic,817,8.3,984,6728
Late Apoptotic,1182,12.0,11391,6582
Viable,133,1.3,464,238
Early Apoptotic,7747,78.4,5629,445

