Experiment Name,Cas3y7 + FixableViability 450
Specimen Name,INF2 D2
Tube Name,Bomac L6 3
Record Date,"Mar 9, 2021 11:56:08 AM"
$OP,CoscollaI2SysBio 
GUID,d4569da1-c5d9-4ef8-811d-fdbb2d3dcc17 
Population,#Events,%Parent,FITC-A Mean,BV421-A Mean
Single Cells,11186,90.7,6599,731
Viability450+,1891,16.9,7747,1886
Cas3/7+,11164,99.8,6612,730
Necrotic,94,0.8,1564,6979
Late Apoptotic,896,8.0,8812,2394
Viable,243,2.2,755,378
Early Apoptotic,9953,89.0,6591,531

