"","case","tiempo","rep","Infeccion_fecha"
"572","chimp_bomac",6,"R10",2021-08-10
"576","chimp_bomac",6,"R11",2021-08-10
"580","chimp_bomac",6,"R12",2021-08-10
"584","chimp_bomac",6,"R13",2021-08-10
"588","chimp_bomac",6,"R14",2021-08-10
"592","chimp_bomac",6,"R15",2021-08-10
"596","L6_bomac",6,"R10",2021-08-10
"600","L6_bomac",6,"R11",2021-08-10
"604","L6_bomac",6,"R12",2021-08-10
"608","L6_bomac",6,"R13",2021-08-10
"612","L6_bomac",6,"R14",2021-08-10
"616","L6_bomac",6,"R15",2021-08-10
"620","bovis_thp1",2,"R7",2021-10-19
"624","bovis_thp1",2,"R8",2021-10-19
"628","bovis_thp1",2,"R9",2021-10-19
"632","bovis_thp1",2,"R10",2021-10-19
"636","bovis_thp1",2,"R11",2021-10-19
"640","bovis_thp1",2,"R12",2021-10-19
"644","bovis_thp1",2,"R13",2021-10-19
"648","bovis_thp1",2,"R14",2021-10-19
"652","bovis_thp1",2,"R15",2021-10-19
"656","bovis_bomac",2,"R13",2021-10-19
"660","bovis_bomac",2,"R14",2021-10-19
"664","bovis_bomac",2,"R15",2021-10-19
"668","bovis_bomac",2,"R16",2021-10-19
"672","bovis_bomac",2,"R17",2021-10-19
"676","bovis_bomac",2,"R18",2021-10-19
"680","bovis_bomac",6,"R13",2021-10-19
"684","bovis_bomac",6,"R14",2021-10-19
"688","bovis_bomac",6,"R15",2021-10-19
"692","bovis_bomac",6,"R16",2021-10-19
"696","bovis_bomac",6,"R17",2021-10-19
"700","bovis_bomac",6,"R18",2021-10-19
"704","bovis_thp1",6,"R7",2021-10-19
"708","bovis_thp1",6,"R8",2021-10-19
"712","bovis_thp1",6,"R9",2021-10-19
"716","bovis_thp1",6,"R10",2021-10-19
"720","bovis_thp1",6,"R11",2021-10-19
"724","bovis_thp1",6,"R12",2021-10-19
"728","bovis_thp1",6,"R13",2021-10-19
"732","bovis_thp1",6,"R14",2021-10-19
"736","bovis_thp1",6,"R15",2021-10-19
