1	1524	F	Rv0001
2052	3260	F	Rv0002
3280	4437	F	Rv0003
4434	4997	F	Rv0004
5240	7267	F	Rv0005
7302	9818	F	Rv0006
9914	10828	F	Rv0007
10887	10960	F	Rvnt01
11112	11184	F	Rvnt02
11874	12311	R	Rv0008c
12468	13016	F	Rv0009
13133	13558	R	Rv0010c
13714	13995	R	Rv0011c
14089	14877	F	Rv0012
14914	15612	F	Rv0013
15590	17470	R	Rv0014c
17467	18762	R	Rv0015c
18759	20234	R	Rv0016c
20231	21640	R	Rv0017c
21637	23181	R	Rv0018c
23270	23737	R	Rv0019c
23861	25444	R	Rv0020c
25644	25726	F	Rvnt03
25913	26881	R	Rv0021c
27023	27442	R	Rv0022c
27595	28365	F	Rv0023
28362	29207	F	Rv0024
29245	29607	F	Rv0025
29722	31068	F	Rv0026
31189	31506	F	Rv0027
31514	31819	F	Rv0028
32057	33154	F	Rv0029
33224	33553	F	Rv0030
33582	33794	F	Rv0031
34295	36610	F	Rv0032
36607	36870	F	Rv0033
36867	37262	F	Rv0034
37259	38947	F	Rv0035
39056	39829	R	Rv0036c
39877	41202	R	Rv0037c
41304	41912	F	Rv0038
42004	42351	R	Rv0039c
42433	43365	R	Rv0040c
43562	46471	F	Rv0041
46581	47207	R	Rv0042c
47366	48100	R	Rv0043c
48233	49027	R	Rv0044c
49043	49939	R	Rv0045c
50021	51124	R	Rv0046c
51185	51727	R	Rv0047c
51828	52697	R	Rv0048c
52831	53244	F	Rv0049
53663	55699	F	Rv0050
55696	57378	F	Rv0051
57410	57973	F	Rv0052
58192	58482	F	Rv0053
58586	59080	F	Rv0054
59122	59376	F	Rv0055
59409	59867	F	Rv0056
59896	60417	F	Rv0057
60396	63020	F	Rv0058
63200	63892	F	Rv0059
63909	64967	F	Rv0060
65012	65350	R	Rv0061c
65552	66694	F	Rv0062
66923	68362	F	Rv0063
68418	68579	F	Rv0063a
68620	71559	F	Rv0064
71589	71828	F	Rv0064A
71821	72222	F	Rv0065
72274	74511	R	Rv0066c
74629	75198	R	Rv0067c
75301	76212	F	Rv0068
76237	77622	R	Rv0069c
77619	78896	R	Rv0070c
79486	80193	F	Rv0071
80624	81673	F	Rv0072
81676	82668	F	Rv0073
82748	83983	F	Rv0074
83996	85168	F	Rv0075
85183	85572	R	Rv0076c
85636	86466	R	Rv0077c
86528	87133	F	Rv0078
87208	87801	R	Rv0078A
87798	88004	R	Rv0078B
88204	89025	F	Rv0079
89022	89480	F	Rv0080
89575	89919	F	Rv0081
89924	90403	F	Rv0082
90400	92322	F	Rv0083
92328	93278	F	Rv0084
93289	93951	F	Rv0085
93951	95417	F	Rv0086
95414	96892	F	Rv0087
96927	97601	F	Rv0088
97758	98351	F	Rv0089
98480	99250	F	Rv0090
99684	100451	F	Rv0091
100583	102868	F	Rv0092
102815	103663	R	Rv0093c
103710	104663	R	Rv0094c
104805	105215	R	Rv0095c
105324	106715	F	Rv0096
106734	107603	F	Rv0097
107600	108151	F	Rv0098
108156	109778	F	Rv0099
109783	110019	F	Rv0100
110001	117539	F	Rv0101
117714	119699	F	Rv0102
119915	122173	R	Rv0103c
122317	123831	F	Rv0104
123980	124264	R	Rv0105c
124374	125570	F	Rv0106
125643	130541	R	Rv0107c
130895	131104	R	Rv0108c
131382	132872	F	Rv0109
133020	133769	F	Rv0110
133950	136007	F	Rv0111
136289	137245	F	Rv0112
137319	137909	F	Rv0113
137941	138513	F	Rv0114
138513	139673	F	Rv0115
139956	140144	F	Rv0115a
140267	141022	R	Rv0116c
141200	142144	F	Rv0117
142128	143876	R	Rv0118c
144049	145626	F	Rv0119
145627	147771	R	Rv0120c
147908	148342	R	Rv0121c
148491	148859	F	Rv0122
148856	149224	F	Rv0123
149533	150996	F	Rv0124
151148	152215	F	Rv0125
152324	154129	F	Rv0126
154232	155599	F	Rv0127
155667	156446	F	Rv0128
156578	157600	R	Rv0129c
